analysis_type,scope,model,dropped_component,aggregation_level,n,estimate,ci_low,ci_high,p_value,delta_rho,n_boot,source_file
leave_one_species_out,species_pair_different_species,RF,Giraffa camelopardalis,NA,56,-0.272037,NA,NA,0.04253449910978502,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,RF,Procyon lotor,NA,56,-0.422348,NA,NA,0.00118506755462776,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,RF,Vulpes vulpes,NA,56,-0.324284,NA,NA,0.01475764736879104,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,RF,none (full),NA,72,-0.322172,NA,NA,0.00578235610613675,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,LGBM,Bison bonasus,NA,56,-0.451617,NA,NA,4.7629837661089e-4,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,LGBM,Bos taurus,NA,56,-0.457362,NA,NA,3.944151428522647e-4,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,LGBM,Canis lupus familiaris,NA,56,-0.361622,NA,NA,0.00617307625712575,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,LGBM,Equus caballus,NA,56,-0.395952,NA,NA,0.00252184299418829,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,LGBM,Equus ferus przewalskii,NA,56,-0.259591,NA,NA,0.05335320384680072,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,LGBM,Erinaceus europaeus,NA,56,-0.063872,NA,NA,0.6400192941708076,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,LGBM,Giraffa camelopardalis,NA,56,-0.35875,NA,NA,0.00662529588978789,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,LGBM,Procyon lotor,NA,56,-0.483485,NA,NA,1.6020414746424803e-4,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,LGBM,Vulpes vulpes,NA,56,-0.370375,NA,NA,0.00495714091825302,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,LGBM,none (full),NA,72,-0.366496,NA,NA,0.00154365972848189,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
aggregation_level_sensitivity,different_species_only,overall,NA,A_row,756,-0.183317,NA,NA,3.87281797441045e-7,NA,NA,Output_R/H3_sensitivity/csv/05_pseudoreplication_comparison.csv
aggregation_level_sensitivity,different_species_only,overall,NA,B_dataset_pair,756,-0.183317,NA,NA,3.87281797441045e-7,NA,NA,Output_R/H3_sensitivity/csv/05_pseudoreplication_comparison.csv
aggregation_level_sensitivity,different_species_only,overall,NA,C_species_pair,432,-0.198219,NA,NA,3.336335830765092e-5,NA,NA,Output_R/H3_sensitivity/csv/05_pseudoreplication_comparison.csv
aggregation_level_sensitivity,different_species_only,CNN,NA,A_row,126,-0.159021,NA,NA,0.0753136467945103,NA,NA,Output_R/H3_sensitivity/csv/05_pseudoreplication_comparison.csv
aggregation_level_sensitivity,different_species_only,CNN,NA,B_dataset_pair,126,-0.159021,NA,NA,0.0753136467945103,NA,NA,Output_R/H3_sensitivity/csv/05_pseudoreplication_comparison.csv
aggregation_level_sensitivity,different_species_only,CNN,NA,C_species_pair,72,-0.175046,NA,NA,0.14137239155514608,NA,NA,Output_R/H3_sensitivity/csv/05_pseudoreplication_comparison.csv
