source_species,target_species,model,mean_macro_f1,n_dataset_pairs,core_gower_distance,extended_gower_distance,same_species,excluded_from_primary_h3
Bos taurus,Procyon lotor,HYDRA,0.3158867003954325,2,0.6788826297023017,0.6441374310226768,FALSE,no
Bos taurus,Vulpes vulpes,HYDRA,0.3305452605395664,2,0.6314534675190414,0.4927431156939354,FALSE,no
Canis lupus familiaris,Bison bonasus,HYDRA,0.4007028897105324,2,0.5846150600248959,0.4629368563794793,FALSE,no
Canis lupus familiaris,Bos taurus,HYDRA,0.3094334568702776,2,0.5970209084963184,0.47083148722492985,FALSE,no
Canis lupus familiaris,Canis lupus familiaris,HYDRA,0.5754418452736135,2,0,0,TRUE,yes
Canis lupus familiaris,Equus caballus,HYDRA,0.6453763122734429,2,0.3080891195645294,0.286965803359246,FALSE,no
Canis lupus familiaris,Equus ferus przewalskii,HYDRA,0.49777768930746824,2,0.3151992742156676,0.2914904472281521,FALSE,no
Canis lupus familiaris,Erinaceus europaeus,HYDRA,0.2774839757228592,2,0.7125029010274913,0.817047300653858,FALSE,no
Canis lupus familiaris,Giraffa camelopardalis,HYDRA,0.37238390151394285,2,0.644639956115366,0.5920436084370511,FALSE,no
Canis lupus familiaris,Procyon lotor,HYDRA,0.5354354653255237,4,0.5580521973964597,0.567245337737141,FALSE,no
Canis lupus familiaris,Vulpes vulpes,HYDRA,0.510246640642936,4,0.03443255902272295,0.11282071937809643,FALSE,no
Equus caballus,Bison bonasus,HYDRA,0.2194017917006824,1,0.27652594046036666,0.17597105302023333,FALSE,no
Equus caballus,Bos taurus,HYDRA,0.19837606612431088,1,0.28893178893178895,0.18386568386568386,FALSE,no
Equus caballus,Canis lupus familiaris,HYDRA,0.5385691274361915,2,0.3080891195645294,0.286965803359246,FALSE,no
Equus caballus,Equus ferus przewalskii,HYDRA,0.3606596930327571,1,0.0071101546511382575,0.004524643868906164,FALSE,no
Equus caballus,Erinaceus europaeus,HYDRA,0.31420007268061617,1,0.7348777348777348,0.8312858312858311,FALSE,no
Equus caballus,Giraffa camelopardalis,HYDRA,0.2195546120993326,1,0.4794079794079794,0.39598689598689596,FALSE,no
